document_number,source_model,windows,predicted_boundaries,true_boundaries,matched_boundaries,mean_matched_distance_chars
325,gpt-4-1106-preview,4,1,16,1,51.0
330,o1-mini-2024-09-12,3,0,6,0,
331,gpt-3.5,5,3,1,1,239.0
332,gpt-4o-2024-08-06,2,1,4,1,47.0
334,gpt-3.5,3,0,1,0,
336,gpt-3.5,2,0,4,0,
339,gpt-4o-2024-08-06,2,1,6,1,86.0
344,gpt-4-0125-preview,5,1,24,1,34.0
345,gpt-3.5,3,0,1,0,
347,gpt-3.5,2,0,2,0,
350,o1-mini-2024-09-12,2,1,2,1,178.0
351,gpt-4-1106-preview,2,0,6,0,
352,o1-mini-2024-09-12,2,0,4,0,
353,o1-mini-2024-09-12,4,0,16,0,
354,gpt-4-1106-preview,2,1,2,1,246.0
355,gpt-4-0125-preview,8,2,35,2,32.5
356,gpt-4o-2024-08-06,5,2,16,2,230.0
360,gpt-4-1106-preview,5,2,22,2,43.5
361,gpt-4o-2024-08-06,7,0,12,0,
362,gpt-4-0125-preview,4,1,14,1,185.0
364,gpt-4-0125-preview,4,1,15,1,31.0
372,o1-mini-2024-09-12,7,3,27,3,105.67
375,gpt-4-0125-preview,5,2,22,2,93.0
378,gpt-4o-2024-08-06,3,1,16,1,29.0
380,gpt-4o-2024-08-06,3,1,16,1,81.0
381,o1-mini-2024-09-12,2,1,6,1,49.0
382,gpt-4o-2024-08-06,8,0,18,0,
384,yagpt,3,0,1,0,
386,o1-mini-2024-09-12,4,1,2,1,428.0
390,gpt-4-1106-preview,4,0,12,0,
391,gpt-4-1106-preview,4,1,18,1,18.0
392,gpt-3.5,4,1,8,1,74.0
395,gpt-4o-2024-08-06,5,0,22,0,
396,yagpt,3,0,1,0,
397,gpt-4-0125-preview,5,0,16,0,
398,gpt-4o,2,0,14,0,
401,o1-mini-2024-09-12,4,0,4,0,
404,gpt-3.5,3,1,1,1,489.0
405,gpt-3.5,2,0,6,0,
406,gpt-4o-2024-08-06,2,1,12,1,18.0
407,gpt-4o-2024-08-06,2,1,10,1,81.0
408,gpt-4o-2024-08-06,2,1,4,1,148.0
409,gpt-4-0125-preview,4,0,12,0,
411,gpt-4o-2024-08-06,5,0,22,0,
414,gpt-4-1106-preview,2,1,6,1,1.0
415,gpt-4-0125-preview,2,1,8,1,23.0
418,gpt-4o-2024-08-06,3,2,8,2,87.0
420,gpt-4-1106-preview,3,1,10,1,50.0
422,gpt-4o-2024-08-06,2,0,6,0,
423,gpt-4-1106-preview,4,1,10,1,14.0
425,gpt-4o-2024-08-06,7,3,26,3,36.67
427,gpt-4-1106-preview,2,0,8,0,
432,o1-preview-2024-09-12,4,0,10,0,
435,gpt-4-1106-preview,2,0,2,0,
438,gpt-4-1106-preview,4,1,20,1,27.0
441,gpt-4-1106-preview,4,3,4,2,98.0
442,o1-mini-2024-09-12,2,1,4,1,59.0
444,gpt-4-1106-preview,4,0,6,0,
445,gpt-4-1106-preview,5,0,20,0,
446,gpt-4-0125-preview,2,0,1,0,
447,gpt-4-1106-preview,2,1,3,1,24.0
451,gpt-4-1106-preview,2,1,4,1,153.0
453,gpt-4o-2024-08-06,4,2,16,2,102.0
454,gpt-4o-2024-08-06,7,4,10,4,45.25
457,ruGPT,4,0,16,0,
458,gpt-3.5,4,1,7,1,1.0
459,o1-mini-2024-09-12,2,0,2,0,
460,gpt-4o-2024-08-06,5,4,9,4,192.25
466,gpt-4o-2024-08-06,6,2,14,2,137.5
467,o1-mini-2024-09-12,4,0,20,0,
470,gpt-4-1106-preview,7,4,34,4,49.25
472,gpt-4-1106-preview,6,2,20,2,99.5
476,o1-mini-2024-09-12,2,0,2,0,
478,gpt-4-0125-preview,2,1,8,1,27.0
480,gpt-4-1106-preview,3,0,5,0,
482,gpt-4-0125-preview,2,0,10,0,
485,gpt-4o-2024-08-06,2,0,8,0,
489,gpt-3.5,4,1,2,1,298.0
490,gpt-3.5,3,2,6,2,57.5
491,gpt-4-0125-preview,5,3,12,3,20.67
495,gpt-3.5,3,0,1,0,
502,o1-mini-2024-09-12,2,1,5,1,132.0
503,gpt-4o-2024-08-06,6,0,2,0,
505,gpt-4-1106-preview,6,1,20,1,332.0
506,gpt-4-0125-preview,6,0,48,0,
507,gpt-4o-2024-08-06,3,2,18,2,58.0
512,gpt-4-1106-preview,5,1,22,1,66.0
514,gpt-3.5,3,0,5,0,
515,gpt-3.5,3,0,1,0,
519,gpt-3.5,3,0,10,0,
520,o1-mini-2024-09-12,2,1,4,1,134.0
521,gpt-4-0125-preview,2,1,6,1,20.0
522,o1-mini-2024-09-12,4,0,5,0,
527,yagpt,2,0,1,0,
529,gpt-4-1106-preview,8,4,40,4,65.75
537,gpt-4-1106-preview,8,3,30,3,85.0
538,gpt-3.5,4,1,5,1,76.0
539,gpt-4-1106-preview,8,1,36,1,46.0
540,gpt-4-1106-preview,2,0,4,0,
541,gpt-4-1106-preview,4,3,18,3,88.67
544,gpt-3.5,3,0,1,0,
545,gpt-3.5,2,1,3,1,164.0
546,gpt-4-0125-preview,2,0,2,0,
552,gpt-3.5,2,1,4,1,143.0
554,gpt-4-1106-preview,2,0,6,0,
558,gpt-4-1106-preview,2,0,6,0,
559,o1-preview-2024-09-12,6,1,22,1,71.0
560,gpt-4o-2024-08-06,2,1,2,1,422.0
561,gpt-4-0125-preview,4,0,6,0,
563,gpt-4-0125-preview,2,0,4,0,
564,o1-mini-2024-09-12,2,0,4,0,
566,o1-preview-2024-09-12,6,0,20,0,
568,yagpt,2,0,1,0,
569,gpt-4o-2024-08-06,2,0,4,0,
570,o1-mini-2024-09-12,2,0,1,0,
576,o1-preview-2024-09-12,7,1,17,1,43.0
578,gpt-4-1106-preview,2,1,1,1,480.0
581,o1-mini-2024-09-12,6,0,8,0,
582,gpt-4o-2024-08-06,5,2,27,2,65.5
587,gpt-4o-2024-08-06,2,0,2,0,
590,gpt-3.5,3,0,6,0,
591,gpt-4-1106-preview,5,0,20,0,
592,gpt-4-1106-preview,6,0,27,0,
593,o1-mini-2024-09-12,2,0,3,0,
595,ruGPT,5,0,3,0,
596,gpt-4o-2024-08-06,2,1,2,1,44.0
597,o1-mini-2024-09-12,4,2,22,2,86.5
598,o1-preview-2024-09-12,5,1,6,1,94.0
599,gpt-4o-2024-08-06,11,4,12,4,153.0
603,gpt-4-1106-preview,3,1,6,1,29.0
606,gpt-3.5,2,0,4,0,
607,gpt-4-0125-preview,4,0,12,0,
608,o1-mini-2024-09-12,4,0,5,0,
609,gpt-4-1106-preview,6,1,30,1,133.0
610,gpt-4-1106-preview,3,1,6,1,94.0
611,gpt-4o-2024-08-06,2,0,2,0,
616,gpt-4o-2024-08-06,11,3,22,3,115.33
617,gpt-3.5,3,2,4,2,216.0
618,gpt-4-1106-preview,2,1,8,1,1.0
621,gpt-4-0125-preview,2,0,4,0,
628,gpt-4o-2024-08-06,4,1,18,1,12.0
629,gpt-4-0125-preview,5,3,24,3,40.0
630,gpt-4-0125-preview,2,0,6,0,
638,gpt-4-1106-preview,6,4,23,4,79.0
639,gpt-4-1106-preview,2,0,2,0,
640,gpt-4o-2024-08-06,6,0,26,0,
642,gpt-4o-2024-08-06,9,0,26,0,
643,gpt-4-1106-preview,2,0,4,0,
649,gpt-4o-2024-08-06,3,1,8,1,43.0
650,gpt-4o-2024-08-06,2,0,4,0,
651,gpt-4-0125-preview,4,0,34,0,
652,gpt-4o-2024-08-06,2,1,4,1,165.0
653,gpt-4-0125-preview,5,1,23,1,15.0
659,gpt-4-0125-preview,5,4,10,3,81.33
665,yagpt,3,1,1,0,
668,gpt-4-0125-preview,6,2,14,2,88.0
669,gpt-4-0125-preview,3,1,7,1,158.0
670,gpt-4o-2024-08-06,17,2,20,2,138.0
673,gpt-4-1106-preview,3,1,14,1,37.0
674,gpt-3.5,3,1,6,1,141.0
678,gpt-4o-2024-08-06,2,0,8,0,
679,gpt-4-0125-preview,2,0,3,0,
681,gpt-3.5,3,0,8,0,
683,gpt-4-1106-preview,2,0,1,0,
686,gpt-4o-2024-08-06,2,1,8,1,10.0
687,gpt-4-0125-preview,4,0,22,0,
688,gpt-4o-2024-08-06,7,3,8,3,214.0
689,gpt-4-1106-preview,2,1,4,1,339.0
690,gpt-4-0125-preview,2,0,4,0,
694,o1-mini-2024-09-12,5,3,20,3,27.67
695,gpt-4o-2024-08-06,2,1,1,1,98.0
696,o1-mini-2024-09-12,4,2,4,2,234.0
698,gpt-3.5,2,0,3,0,
701,gpt-4-0125-preview,2,0,12,0,
708,o1-mini-2024-09-12,5,1,10,1,198.0
709,gpt-4o-2024-08-06,6,1,14,1,27.0
712,gpt-3.5,2,0,1,0,
714,o1-mini-2024-09-12,3,0,10,0,
717,gpt-3.5,3,2,5,2,230.5
718,gpt-4o-2024-08-06,2,0,14,0,
726,o1-preview-2024-09-12,6,1,3,1,38.0
729,gpt-4o-2024-08-06,5,2,4,2,181.0
732,gpt-4-0125-preview,2,1,4,1,19.0
733,o1-mini-2024-09-12,2,1,10,1,135.0
734,o1-mini-2024-09-12,7,2,14,2,73.0
738,gpt-4o-2024-08-06,7,1,17,1,226.0
740,o1-mini-2024-09-12,2,0,3,0,
742,gpt-4-0125-preview,5,1,22,1,36.0
747,o1-mini-2024-09-12,2,1,10,1,40.0
755,o1-preview-2024-09-12,6,2,28,2,11.5
759,gpt-4o-2024-08-06,7,0,22,0,
760,gpt-4-1106-preview,2,0,8,0,
763,gpt-4-0125-preview,3,0,8,0,
764,gpt-4-1106-preview,2,1,8,1,3.0
765,gpt-4o-2024-08-06,2,0,2,0,
766,o1-mini-2024-09-12,2,0,1,0,
767,gpt-4o-2024-08-06,2,0,4,0,
768,gpt-4-1106-preview,8,1,39,1,5.0
771,gpt-4-1106-preview,2,0,2,0,
772,gpt-4o-2024-08-06,4,2,18,2,42.5
773,yagpt,2,1,1,1,472.0
777,gpt-4-0125-preview,4,2,10,2,124.0
778,yagpt,2,0,4,0,
781,gpt-4-0125-preview,2,1,2,1,115.0
786,gpt-4o-2024-08-06,2,0,4,0,
787,gpt-4-1106-preview,2,1,1,1,0.0
791,o1-mini-2024-09-12,4,0,6,0,
795,gpt-4-1106-preview,2,0,6,0,
796,o1-mini-2024-09-12,4,0,11,0,
797,gpt-3.5,2,0,1,0,
800,gpt-4-0125-preview,5,0,14,0,
808,o1-mini-2024-09-12,4,0,6,0,
809,gpt-4-0125-preview,4,1,7,1,98.0
813,gpt-4-0125-preview,3,0,8,0,
816,gpt-3.5,3,0,6,0,
817,gpt-4-1106-preview,6,2,13,2,220.5
818,gpt-4-1106-preview,2,0,6,0,
819,gpt-4-0125-preview,2,0,6,0,
823,o1-preview-2024-09-12,2,1,4,1,95.0
825,gpt-3.5,2,0,10,0,
833,gpt-4-1106-preview,2,1,12,1,19.0
837,ruGPT,3,0,2,0,
839,o1-mini-2024-09-12,2,0,4,0,
841,gpt-4-0125-preview,6,2,24,2,142.0
842,gpt-4o-2024-08-06,2,1,2,1,68.0
843,gpt-3.5,3,1,2,1,61.0
848,ruGPT,2,0,2,0,
850,o1-preview-2024-09-12,5,0,13,0,
853,gpt-4-0125-preview,3,1,12,1,63.0
854,gpt-4-1106-preview,6,1,29,1,106.0
855,gpt-4-0125-preview,6,0,18,0,
856,gpt-4o-2024-08-06,5,2,12,2,66.5
857,gpt-4-1106-preview,2,1,4,1,166.0
858,gpt-4-0125-preview,2,1,4,1,240.0
860,gpt-4-1106-preview,7,3,26,3,55.33
862,gpt-4-0125-preview,3,0,8,0,
864,gpt-3.5,4,0,8,0,
865,gpt-4-1106-preview,5,1,38,1,23.0
866,gpt-4-0125-preview,2,0,10,0,
867,gpt-4-1106-preview,2,0,2,0,
870,gpt-4-1106-preview,2,0,6,0,
872,gpt-3.5,4,0,6,0,
873,gpt-4o-2024-08-06,3,0,6,0,
880,gpt-4o-2024-08-06,7,4,30,4,37.5
881,gpt-4o-2024-08-06,2,1,4,1,53.0
882,gpt-4o-2024-08-06,7,3,12,3,62.0
883,gpt-4-0125-preview,6,3,24,3,100.0
888,ruGPT,3,0,4,0,
889,o1-mini-2024-09-12,2,0,4,0,
891,o1-mini-2024-09-12,2,0,2,0,
893,yagpt,2,1,1,1,256.0
898,gpt-4,2,0,3,0,
902,o1-preview-2024-09-12,10,0,4,0,
905,gpt-4o-2024-08-06,6,4,18,4,43.5
907,gpt-4o-2024-08-06,6,1,4,1,372.0
908,gpt-4-0125-preview,2,0,6,0,
909,o1-preview-2024-09-12,5,1,5,1,134.0
910,gpt-4o-2024-08-06,2,0,4,0,
913,gpt-4-0125-preview,3,0,6,0,
917,ruGPT,2,1,3,1,56.0
920,gpt-3.5,2,0,2,0,
923,gpt-4-0125-preview,3,1,12,1,34.0
927,o1-mini-2024-09-12,6,3,16,2,147.5
929,gpt-3.5,4,1,4,1,5.0
931,o1-mini-2024-09-12,4,0,3,0,
933,gpt-4-0125-preview,5,2,8,2,208.5
935,gpt-3.5,3,1,1,0,
936,gpt-4-0125-preview,4,1,14,1,37.0
937,o1-preview-2024-09-12,6,0,11,0,
940,gpt-4o-2024-08-06,2,0,2,0,
942,gpt-4-0125-preview,4,1,18,1,233.0
943,gpt-3.5,2,0,1,0,
946,gpt-3.5,3,1,1,0,
948,gpt-4o-2024-08-06,8,0,16,0,
949,gpt-4-1106-preview,5,0,22,0,
951,o1-mini-2024-09-12,7,4,20,4,131.5
953,gpt-4o-2024-08-06,4,0,14,0,
954,gpt-4-0125-preview,9,4,18,4,86.0
955,gpt-4o-2024-08-06,4,2,8,2,15.5
961,gpt-3.5,2,0,1,0,
962,gpt-4o-2024-08-06,8,1,18,1,113.0
963,gpt-4o-2024-08-06,2,0,2,0,
965,gpt-4-0125-preview,2,0,2,0,
967,gpt-4o-2024-08-06,2,1,4,1,6.0
968,gpt-4-1106-preview,3,1,6,1,356.0
969,gpt-4o-2024-08-06,5,0,20,0,
970,gpt-3.5,4,0,7,0,
971,gpt-4-1106-preview,5,3,14,3,123.67
972,gpt-4o-2024-08-06,2,0,2,0,
974,gpt-4-0125-preview,2,1,1,1,213.0
975,gpt-4-0125-preview,6,1,24,1,29.0
977,gpt-4-0125-preview,6,0,18,0,
978,gpt-3.5,3,1,1,0,
984,gpt-4-0125-preview,2,0,1,0,
985,o1-mini-2024-09-12,4,1,20,1,31.0
986,gpt-4-0125-preview,6,0,26,0,
990,gpt-4o-2024-08-06,5,2,14,2,120.5
991,gpt-4-0125-preview,2,0,16,0,
993,gpt-3.5,2,0,4,0,
994,gpt-4-0125-preview,3,0,14,0,
996,gpt-3.5,2,1,1,1,418.0
998,yagpt,2,0,1,0,
999,gpt-4-1106-preview,3,1,12,1,37.0
